time_ns,source,destination,route,rtt_ns,hop_count,failed_isls,status
7500000000,12,13,12-1-0-3-13,29217927.4803342260,4,,NORMAL
7600000000,12,13,12-1-0-3-13,29215321.7913104296,4,,NORMAL
7700000000,12,13,12-1-0-3-13,29212726.9659382440,4,,NORMAL
7800000000,12,13,12-1-0-3-13,29210133.6181733012,4,,NORMAL
7900000000,12,13,12-1-0-3-13,29207538.0656804889,4,,NORMAL
8000000000,12,13,12-1-0-3-13,29204952.1346397363,4,,NORMAL
8100000000,12,13,12-1-0-3-13,29202363.9999128692,4,,NORMAL
8200000000,12,13,12-1-0-3-13,29199782.7683357187,4,,NORMAL
8300000000,12,13,12-1-0-3-13,29197210.3459613994,4,,NORMAL
8400000000,12,13,12-1-0-3-13,29194638.7385635450,4,,NORMAL
8500000000,12,13,12-1-0-3-13,29192063.2933245637,4,,NORMAL
8600000000,12,13,12-1-0-3-13,29189495.5978114083,4,,NORMAL
8700000000,12,13,12-1-0-3-13,29186934.6974638291,4,,NORMAL
8800000000,12,13,12-1-0-3-13,29184375.7156451307,4,,NORMAL
8900000000,12,13,12-1-0-3-13,29181814.2713126987,4,,NORMAL
9000000000,12,13,12-1-0-3-13,29179262.3048743308,4,,NORMAL
9100000000,12,13,12-1-0-3-13,29176713.5922413729,4,,NORMAL
9200000000,12,13,12-1-0-3-13,29174168.6115280725,4,,NORMAL
9300000000,12,13,12-1-0-3-13,29171624.6371048875,4,,NORMAL
9400000000,12,13,12-1-0-3-13,29169089.8491795696,4,,NORMAL
9500000000,12,13,12-1-0-3-13,29166555.9913328327,4,,NORMAL
9600000000,12,13,12-1-0-3-13,29164019.5092131123,4,,NORMAL
9700000000,12,13,12-1-0-3-13,29161495.8460292853,4,,NORMAL
9800000000,12,13,12-1-0-3-13,29158970.4143181182,4,,NORMAL
9900000000,12,13,12-1-0-3-13,29156451.0363456570,4,,NORMAL
10000000000,12,13,12-1-0-3-13,29153930.2228953019,4,,NORMAL
10100000000,12,13,12-1-0-3-13,29151418.6768837571,4,,NORMAL
10200000000,12,13,12-1-0-3-13,29148904.0299839377,4,,NORMAL
