time_ns,source,compute_node,route,rtt_ns,hop_count,failed_isls,status
7900000000,12,0,12-1-0,15615355.6041209120,2,,AVAILABLE
8000000000,12,0,12-1-0,15611681.0103371348,2,,AVAILABLE
8100000000,12,0,12-1-0,15608008.7055786680,2,,AVAILABLE
8200000000,12,0,12-1-0,15604336.5476302318,2,,AVAILABLE
8300000000,12,0,12-1-0,15600665.1905094292,2,,AVAILABLE
8400000000,12,0,12-1-0,15597001.4424476288,2,,AVAILABLE
8500000000,12,0,12-1-0,15593329.9813820738,2,,AVAILABLE
8600000000,12,0,12-1-0,15589658.6807769034,2,,AVAILABLE
8700000000,12,0,12-1-0,15585998.1678888109,2,,AVAILABLE
8800000000,12,0,12-1-0,15582332.4831219204,2,,AVAILABLE
8900000000,12,0,12-1-0,15578665.0605082028,2,,AVAILABLE
9000000000,12,0,12-1-0,15575001.4101510458,2,,AVAILABLE
9100000000,12,0,12-1-0,15571342.1569773108,2,,AVAILABLE
9200000000,12,0,12-1-0,15567680.5114184823,2,,AVAILABLE
9300000000,12,0,12-1-0,15564020.0982079580,2,,AVAILABLE
9400000000,12,0,12-1-0,15560363.6645394694,2,,AVAILABLE
9500000000,12,0,12-1-0,15556705.6705410574,2,,AVAILABLE
9600000000,12,0,12-1-0,15553048.0774436127,2,,AVAILABLE
9700000000,12,0,12-1-0,15549395.2971123401,2,,AVAILABLE
9800000000,12,0,12-1-0,15545740.1400768496,2,,AVAILABLE
9900000000,12,0,12-1-0,15542089.3801582363,2,,AVAILABLE
10000000000,12,0,12-1-0,15538436.6591503546,2,,AVAILABLE
10100000000,12,0,12-1-0,15534787.9160796758,2,,AVAILABLE
10200000000,12,0,12-1-0,15531137.2141090687,2,,AVAILABLE
10300000000,12,0,12-1-0,15527487.0705051590,2,,AVAILABLE
10400000000,12,0,12-1-0,15523844.7588378862,2,,AVAILABLE
10500000000,12,0,12-1-0,15520197.2937187999,2,,AVAILABLE
10600000000,12,0,12-1-0,15516547.8531810902,2,,AVAILABLE
10700000000,12,0,12-1-0,15512908.7779449448,2,,AVAILABLE
10800000000,12,0,12-1-0,15509263.8888602164,2,,AVAILABLE
10900000000,12,0,12-1-0,15505620.8785343096,2,,AVAILABLE
11000000000,12,0,12-1-0,15501982.2815856971,2,,AVAILABLE
11100000000,12,0,12-1-0,15498344.2202040851,2,,AVAILABLE
11200000000,12,0,12-1-0,15494704.4465474654,2,,AVAILABLE
11300000000,12,0,12-1-0,15491071.6212801617,2,,AVAILABLE
11400000000,12,0,12-1-0,15487430.6710388716,2,,AVAILABLE
11500000000,12,0,12-1-0,15483797.7466053125,2,,AVAILABLE
11600000000,12,0,12-1-0,15480164.9602902327,2,,AVAILABLE
11700000000,12,0,12-1-0,15476530.8591967989,2,,AVAILABLE
11800000000,12,0,12-1-0,15472900.0911839176,2,,AVAILABLE
11900000000,12,0,12-1-0,15469271.6213262584,2,,AVAILABLE
12000000000,12,0,12-1-0,15465643.2885573134,2,,AVAILABLE
12100000000,12,0,12-1-0,15462016.1750465091,2,,AVAILABLE
12200000000,12,0,12-1-0,15458387.7460710127,2,,AVAILABLE
12300000000,12,0,12-1-0,15454762.6490044482,2,,AVAILABLE
12400000000,12,0,12-1-0,15451139.1863536313,2,,AVAILABLE
12500000000,12,0,12-1-0,15447510.8222175054,2,,AVAILABLE
12600000000,12,0,12-1-0,15443892.5736464765,2,,AVAILABLE
12700000000,12,0,12-1-0,15440272.3468333613,2,,AVAILABLE
12800000000,12,0,12-1-0,15436650.3924484625,2,,AVAILABLE
12900000000,12,0,12-1-0,15433032.6258646548,2,,AVAILABLE
13000000000,12,0,12-1-0,15429415.6348113865,2,,AVAILABLE
13100000000,12,0,12-1-0,15425803.0569671039,2,,AVAILABLE
13200000000,12,0,12-1-0,15422185.3307843395,2,,AVAILABLE
13300000000,12,0,12-1-0,15418574.7710428797,2,,AVAILABLE
13400000000,12,0,12-1-0,15414960.1213380061,2,,AVAILABLE
13500000000,12,0,12-1-0,15411345.6332245022,2,,AVAILABLE
13600000000,12,0,12-1-0,15407739.1430632547,2,,AVAILABLE
13700000000,12,0,12-1-0,15404127.0885597728,2,,AVAILABLE
13800000000,12,0,12-1-0,15400522.6164142732,2,,AVAILABLE
13900000000,12,0,12-1-0,15396915.7762950063,2,,AVAILABLE
14000000000,12,0,12-1-0,15393310.5430961475,2,,AVAILABLE
14100000000,12,0,12-1-0,15389706.5552921556,2,,AVAILABLE
14200000000,12,0,12-1-0,15386102.6989130620,2,,AVAILABLE
14300000000,12,0,12-1-0,15382503.8987608012,2,,AVAILABLE
14400000000,12,0,12-1-0,15378900.3677262347,2,,AVAILABLE
14500000000,12,0,12-1-0,15375297.6374558471,2,,AVAILABLE
14600000000,12,0,12-1-0,15371705.6840281878,2,,AVAILABLE
14700000000,12,0,12-1-0,15368104.9720352963,2,,AVAILABLE
14800000000,12,0,12-1-0,15364508.4199816957,2,,AVAILABLE
14900000000,12,0,12-1-0,15360916.9525141325,2,,AVAILABLE
15000000000,12,0,12-1-0,15357323.4780859966,2,,AVAILABLE
15100000000,12,0,12-1-0,15353730.8326612245,2,,AVAILABLE
15200000000,12,0,12-1-0,15350139.1500026938,2,,AVAILABLE
15300000000,12,0,12-1-0,15346548.9397229701,2,,AVAILABLE
15400000000,12,0,12-1-0,15342965.6673850305,2,,AVAILABLE
15500000000,12,0,12-1-0,15339374.6959164236,2,,AVAILABLE
15600000000,12,0,12-1-0,15335788.5553929284,2,,AVAILABLE
15700000000,12,0,12-1-0,15332205.7406082004,2,,AVAILABLE
15800000000,12,0,12-1-0,15328621.6182110459,2,,AVAILABLE
15900000000,12,0,12-1-0,15325041.2362553589,2,,AVAILABLE
16000000000,12,0,12-1-0,15321459.5489039794,2,,AVAILABLE
