scenario,total_jobs,placed_jobs,unplaced_jobs,placement_success_rate_percent,deadline_met_rate_percent,average_queue_wait_ms,maximum_queue_wait_ms,average_total_time_ms
NORMAL_BURST,300,300,0,100.0,13.333333333333334,22423.7941851374,48525.31048357749,24280.593675579323
FAILED_ISL_0_1_BURST,300,300,0,100.0,11.333333333333332,22494.5278050021,48525.31048357749,24370.871462620165
MULTI_FAILED_ISL_0_1_10_11_BURST,300,289,11,96.33333333333334,8.650519031141869,55291.746056080534,109333.64490246683,57050.54933807212
