job_id,job_type,arrival_time_ns,scenario,algorithm,placement_status,selected_node,route,rtt_ns,network_time_ms,queue_wait_time_ms,compute_time_ms,start_time_ms,finish_time_ms,total_time_ms,deadline_ms,deadline_met,failed_isls
job_001,image_inference,0,NORMAL,completion_time,PLACED,3,12-1-0-3,21230481.690810062,21.230481690810063,0.0,708.3333333333334,21.230481690810063,729.5638150241434,729.5638150241434,750.0,True,
job_002,object_detection,2019191919,NORMAL,completion_time,PLACED,3,12-1-0-3,21164743.10391422,21.16474310391422,0.0,1208.3333333333335,2040.3566621039142,3248.6899954372475,1229.4980764372474,1200.0,False,
job_003,llm_inference,4038383838,NORMAL,completion_time,PLACED,3,12-1-0-3,21099378.881721478,21.099378881721478,0.0,2750.0,4059.4832168817215,6809.483216881721,2771.099378881721,2000.0,False,
job_004,image_inference,6057575758,NORMAL,completion_time,PLACED,0,12-1-0,15685360.519204145,15.685360519204146,0.0,1000.0,6073.2611185192045,7073.2611185192045,1015.6853605192046,750.0,False,
job_005,object_detection,8076767677,NORMAL,completion_time,PLACED,3,12-1-0-3,20969802.50322373,20.96980250322373,0.0,1333.3333333333335,8097.737479503224,9431.070812836557,1354.303135836557,1200.0,False,
job_006,llm_inference,10095959596,NORMAL,completion_time,PLACED,3,12-1-0-3,20905621.487923723,20.90562148792372,0.0,2666.666666666667,10116.865217487924,12783.531884154592,2687.5722881545917,2000.0,False,
job_007,image_inference,12115151515,NORMAL,completion_time,PLACED,0,12-1-0,15462016.17504651,15.462016175046509,0.0,900.0,12130.613531175046,13030.613531175046,915.4620161750463,750.0,False,
job_008,object_detection,14134343434,NORMAL,completion_time,PLACED,3,12-1-0-3,20775403.763290994,20.775403763290996,0.0,1250.0,14155.118837763292,15405.118837763292,1270.7754037632913,1200.0,False,
job_009,llm_inference,16153535354,NORMAL,completion_time,PLACED,3,12-1-0-3,20712574.2127325,20.712574212732502,0.0,2791.666666666667,16174.247928212731,18965.9145948794,2812.3792408793997,2000.0,False,
job_010,image_inference,18172727273,NORMAL,completion_time,PLACED,0,12-1-0,15246542.907457646,15.246542907457647,0.0,1050.0,18187.97381590746,19237.97381590746,1065.2465429074582,750.0,False,
job_011,object_detection,20191919192,NORMAL,completion_time,PLACED,3,12-4-3,16987330.94346563,16.987330943465633,0.0,1166.6666666666667,20208.906522943467,21375.573189610135,1183.653997610134,1200.0,True,
job_012,llm_inference,22211111111,NORMAL,completion_time,PLACED,3,12-4-3,16939938.034024507,16.939938034024507,0.0,2708.3333333333335,22228.051049034024,24936.384382367356,2725.2732713673577,2000.0,False,
job_013,image_inference,24230303030,NORMAL,completion_time,PLACED,0,12-1-0,15032214.618803589,15.03221461880359,0.0,950.0,24245.335244618804,25195.335244618804,965.0322146188046,750.0,False,
job_014,object_detection,26249494949,NORMAL,completion_time,PLACED,3,12-4-3,16851992.926292486,16.851992926292485,0.0,1291.6666666666667,26266.34694192629,27558.01360859296,1308.518659592959,1200.0,False,
job_015,llm_inference,28268686869,NORMAL,completion_time,PLACED,3,12-4-3,16809195.355418622,16.809195355418623,0.0,2833.3333333333335,28285.49606435542,31118.82939768875,2850.1425286887497,2000.0,False,
job_016,image_inference,30287878788,NORMAL,completion_time,PLACED,0,12-1-0,14826540.327870103,14.826540327870102,0.0,850.0,30302.705328327873,31152.705328327873,864.826540327871,750.0,False,
job_017,object_detection,32307070707,NORMAL,completion_time,PLACED,3,12-4-3,16723960.342440186,16.723960342440186,0.0,1208.3333333333335,32323.794667342438,33532.12800067577,1225.0572936757744,1200.0,False,
job_018,llm_inference,34326262626,NORMAL,completion_time,PLACED,3,12-4-3,16683634.984636677,16.683634984636676,0.0,2750.0,34342.94626098464,37092.94626098464,2766.6836349846344,2000.0,False,
job_019,image_inference,36345454545,NORMAL,completion_time,PLACED,0,12-1-0,14623212.537446145,14.623212537446145,0.0,1000.0,36360.077757537445,37360.077757537445,1014.6232125374445,750.0,False,
job_020,object_detection,38364646465,NORMAL,completion_time,PLACED,3,12-4-3,16605504.069138408,16.60550406913841,0.0,1333.3333333333335,38381.25196906913,39714.58530240247,1349.938837402471,1200.0,False,
job_021,llm_inference,40383838384,NORMAL,completion_time,PLACED,3,12-4-3,16567724.9952305,16.5677249952305,0.0,2666.666666666667,40400.40610899523,43067.072775661894,2683.234391661892,2000.0,False,
job_022,image_inference,42403030303,NORMAL,completion_time,PLACED,0,12-1-0,14426332.682525449,14.426332682525448,0.0,900.0,42417.45663568252,43317.45663568252,914.4263326825239,750.0,False,
job_023,object_detection,44422222222,NORMAL,completion_time,PLACED,3,12-4-3,16493027.331131052,16.493027331131053,0.0,1250.0,44438.71524933113,45688.71524933113,1266.493027331133,1200.0,False,
job_024,llm_inference,46441414141,NORMAL,completion_time,PLACED,3,12-4-3,16457951.756799342,16.457951756799343,0.0,2791.666666666667,46457.8720927568,49249.53875942346,2808.1246184234624,2000.0,False,
job_025,image_inference,48460606061,NORMAL,completion_time,PLACED,0,12-1-0,14239636.621996475,14.239636621996475,0.0,1050.0,48474.845697622,49524.845697622,1064.2396366219982,750.0,False,
job_026,object_detection,50479797980,NORMAL,completion_time,PLACED,3,12-4-3,16390555.030521018,16.390555030521018,0.0,1166.6666666666667,50496.188535030524,51662.85520169719,1183.057221697185,1200.0,True,
job_027,llm_inference,52498989899,NORMAL,completion_time,PLACED,3,12-4-3,16358260.34603616,16.35826034603616,0.0,2708.3333333333335,52515.34815934604,55223.681492679374,2724.691593679374,2000.0,False,
job_028,image_inference,54518181818,NORMAL,completion_time,PLACED,0,12-1-0,14057645.055102743,14.057645055102743,0.0,950.0,54532.2394630551,55482.2394630551,964.0576450551016,750.0,False,
job_029,object_detection,56537373737,NORMAL,completion_time,PLACED,3,12-4-3,16295020.17749546,16.29502017749546,0.0,1291.6666666666667,56553.6687571775,57845.33542384416,1307.961686844159,1200.0,False,
job_030,llm_inference,58556565657,NORMAL,completion_time,PLACED,3,12-4-3,16265650.91295241,16.26565091295241,0.0,2833.3333333333335,58572.83130791295,61406.16464124629,2849.5989842462877,2000.0,False,
job_031,image_inference,60575757576,NORMAL,completion_time,PLACED,0,12-1-0,13887118.473152904,13.887118473152904,0.0,850.0,60589.64469447316,61439.64469447316,863.8871184731543,750.0,False,
job_032,object_detection,62594949495,NORMAL,completion_time,PLACED,3,12-4-3,16209877.117005728,16.20987711700573,0.0,1208.3333333333335,62611.15937211701,63819.49270545034,1224.5432104503416,1200.0,False,
job_033,llm_inference,64614141414,NORMAL,completion_time,PLACED,3,12-4-3,16182198.675730646,16.182198675730646,0.0,2750.0,64630.323612675726,67380.32361267573,2766.1821986757277,2000.0,False,
job_034,image_inference,66633333333,NORMAL,completion_time,PLACED,0,12-1-0,13723263.562580517,13.723263562580517,0.0,1000.0,66647.05659656259,67647.05659656259,1013.7232635625842,750.0,False,
job_035,object_detection,68652525253,NORMAL,completion_time,PLACED,3,12-4-3,16132594.528050723,16.132594528050724,0.0,1333.3333333333335,68668.65784752805,70001.99118086138,1349.4659278613835,1200.0,False,
job_036,llm_inference,70671717172,NORMAL,completion_time,PLACED,3,12-4-3,16109346.466789588,16.10934646678959,0.0,2666.666666666667,70687.8265184668,73354.49318513347,2682.7760131334653,2000.0,False,
job_037,image_inference,72690909091,NORMAL,completion_time,PLACED,0,12-1-0,13572375.200919483,13.572375200919483,0.0,900.0,72704.48146620092,73604.48146620092,913.5723752009217,750.0,False,
job_038,object_detection,74710101010,NORMAL,completion_time,PLACED,3,12-4-3,16064972.137603741,16.064972137603743,0.0,1250.0,74726.16598213761,75976.16598213761,1266.0649721376103,1200.0,False,
job_039,llm_inference,76729292929,NORMAL,completion_time,PLACED,3,12-4-3,16044948.936619429,16.04494893661943,0.0,2791.666666666667,76745.33787793662,79537.00454460329,2807.711615603286,2000.0,False,
job_040,image_inference,78748484848,NORMAL,completion_time,PLACED,0,12-1-0,13430429.759456959,13.430429759456958,0.0,1050.0,78761.91527775944,79811.91527775944,1063.43042975945,750.0,False,
job_041,object_detection,80767676768,NORMAL,completion_time,PLACED,3,12-4-3,16008137.029551381,16.00813702955138,0.0,1166.6666666666667,80783.68490502956,81950.35157169623,1182.6748036962235,1200.0,True,
job_042,llm_inference,82786868687,NORMAL,completion_time,PLACED,3,12-4-3,15991365.624766577,15.991365624766576,0.0,2708.3333333333335,82802.86005262476,85511.19338595809,2724.324698958095,2000.0,False,
job_043,image_inference,84806060606,NORMAL,completion_time,PLACED,0,12-1-0,13301094.809831552,13.301094809831552,0.0,950.0,84819.36170080984,85769.36170080984,963.3010948098381,750.0,False,
job_044,object_detection,86825252525,NORMAL,completion_time,PLACED,3,12-4-3,15960431.712611532,15.960431712611532,0.0,1291.6666666666667,86841.21295671261,88132.87962337928,1307.6270983792783,1200.0,False,
job_045,llm_inference,88844444444,NORMAL,completion_time,PLACED,3,12-4-3,15947038.43191259,15.94703843191259,0.0,2833.3333333333335,88860.3914824319,91693.72481576524,2849.2803717652423,2000.0,False,
job_046,image_inference,90863636364,NORMAL,completion_time,PLACED,0,12-1-0,13187217.392020503,13.187217392020504,0.0,850.0,90876.82358139203,91726.82358139203,863.1872173920274,750.0,False,
job_047,object_detection,92882828283,NORMAL,completion_time,PLACED,3,12-4-3,15923612.895625787,15.923612895625787,0.0,1208.3333333333335,92898.75189589562,94107.08522922895,1224.256946228954,1200.0,False,
job_048,llm_inference,94902020202,NORMAL,completion_time,PLACED,3,12-4-3,15913126.660757914,15.913126660757914,0.0,2750.0,94917.93332866076,97667.93332866076,2765.9131266607583,2000.0,False,
