finding_id,scenario,workload,policy,metric,finding_type,baseline_value,compared_value,absolute_change,relative_change_percent,statement
F0024,single,burst,compute_only,node_load_imbalance_ratio,percentage_change,0.09273618495495704,0.0697614984548545,-0.022974686500102537,-24.77424158785655,단일 장애 조건에서 compute_only 정책의 노드 부하 불균형은(는) 정상 대비 -24.77% 변화했습니다.
F0025,single,burst,network_only,placement_success_ratio,percentage_point_change,1.0,1.0,0.0,,단일 장애 조건에서 network_only 정책의 배치 성공률은(는) 정상 대비 +0.00%p 변화했습니다.
F0026,single,burst,network_only,jobs_unplaced,absolute_change_zero_baseline,0.0,0.0,0.0,,"단일 장애 조건에서 network_only 정책의 평균 미배치 작업 수은(는) 정상 대비 절대 변화 +0, 상대 변화 계산 불가(정상 기준 0) 변화했습니다."
F0027,single,burst,network_only,deadline_met_ratio,percentage_point_change,0.05,0.12666666666666668,0.07666666666666667,,단일 장애 조건에서 network_only 정책의 마감 준수율은(는) 정상 대비 +7.67%p 변화했습니다.
F0028,single,burst,network_only,average_queue_wait_seconds,percentage_change,186.84788961512868,115.6845311367452,-71.16335847838347,-38.08625220491734,단일 장애 조건에서 network_only 정책의 평균 큐 대기시간은(는) 정상 대비 -38.09% 변화했습니다.
F0029,single,burst,network_only,p95_queue_wait_seconds,percentage_change,370.4481569111311,266.1208356782289,-104.3273212329022,-28.162461949548817,단일 장애 조건에서 network_only 정책의 P95 큐 대기시간은(는) 정상 대비 -28.16% 변화했습니다.
F0030,single,burst,network_only,average_total_time_seconds,percentage_change,188.77745481812502,117.34732302362242,-71.4301317945026,-37.838274630474785,단일 장애 조건에서 network_only 정책의 평균 총 시간은(는) 정상 대비 -37.84% 변화했습니다.
F0031,single,burst,network_only,p95_total_time_seconds,percentage_change,372.44681625167146,266.8452149793662,-105.60160127230529,-28.35347133184988,단일 장애 조건에서 network_only 정책의 P95 총 시간은(는) 정상 대비 -28.35% 변화했습니다.
F0032,single,burst,network_only,node_load_imbalance_ratio,percentage_change,1.4142135623730951,1.1337548235840058,-0.28045873878908933,-19.831427604079167,단일 장애 조건에서 network_only 정책의 노드 부하 불균형은(는) 정상 대비 -19.83% 변화했습니다.
F0033,multi,burst,completion_time,placement_success_ratio,percentage_point_change,1.0,0.9633333333333333,-0.036666666666666736,,다중 장애 조건에서 completion_time 정책의 배치 성공률은(는) 정상 대비 -3.67%p 변화했습니다.
