scenario,policy,workload,run_count,successful_run_count,failed_run_count,placement_success_ratio_mean,placement_success_ratio_stddev,placement_success_ratio_minimum,placement_success_ratio_maximum,jobs_unplaced_mean,jobs_unplaced_stddev,jobs_unplaced_minimum,jobs_unplaced_maximum,deadline_met_ratio_mean,deadline_met_ratio_stddev,deadline_met_ratio_minimum,deadline_met_ratio_maximum,average_queue_wait_seconds_mean,average_queue_wait_seconds_stddev,average_queue_wait_seconds_minimum,average_queue_wait_seconds_maximum,p95_queue_wait_seconds_mean,p95_queue_wait_seconds_stddev,p95_queue_wait_seconds_minimum,p95_queue_wait_seconds_maximum,average_total_time_seconds_mean,average_total_time_seconds_stddev,average_total_time_seconds_minimum,average_total_time_seconds_maximum,p95_total_time_seconds_mean,p95_total_time_seconds_stddev,p95_total_time_seconds_minimum,p95_total_time_seconds_maximum,node_load_imbalance_ratio_mean,node_load_imbalance_ratio_stddev,node_load_imbalance_ratio_minimum,node_load_imbalance_ratio_maximum
link_failure_recovery,completion_time,burst,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7356947050342206,0.007080373020549377,1.725433436937967,1.7400964365591736,3.7570238379740957,6.824986094969113e-06,3.7570134621318956,3.757034625342161,0.9190400779301676,0.04296809480957149,0.8923543557893895,0.9813067629253163
link_failure_recovery,compute_aware,burst,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947737790082476,0.0031990417595353575,1.94310146709858,1.949729514962315,3.7570238379740957,6.824986094969113e-06,3.7570134621318956,3.757034625342161,0.7853247083402003,0.04451742466467911,0.7576767609436587,0.8498365855987974
link_failure_recovery,compute_only,burst,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1551974031120276,1.8245141189648915e-06,2.1551946908123245,2.155199801532676,3.812773577393595,6.466536927847903e-06,3.812763956531722,3.8127800017349145,1.414213562373095,0.0,1.414213562373095,1.414213562373095
link_failure_recovery,network_only,burst,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947737790082476,0.0031990417595353575,1.94310146709858,1.949729514962315,3.7570238379740957,6.824986094969113e-06,3.7570134621318956,3.757034625342161,0.7853247083402003,0.04451742466467911,0.7576767609436587,0.8498365855987974
