run_id,scenario,policy,workload,seed,jobs_total,jobs_placed,jobs_unplaced,placement_success_ratio,deadline_met_ratio,average_queue_wait_seconds,p50_queue_wait_seconds,p95_queue_wait_seconds,maximum_queue_wait_seconds,average_total_time_seconds,p50_total_time_seconds,p95_total_time_seconds,failed_links,unavailable_nodes,node_load_mean,node_load_stddev,node_load_imbalance_ratio,run_duration_seconds,status,error,dynamic_scenario,failure_event_count,recovery_event_count,detection_time_seconds,reroute_time_seconds,service_recovery_time_seconds,jobs_unplaced_during_failure,retry_success_ratio,workload_fingerprint,workload_job_count
3b923dafa50a639a,link_failure_recovery,network_only,burst,3,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.943101649218295,1.5650984327772022,3.757018718419049,0,0,6.0,5.0990195135927845,0.8498365855987974,0.05347003099996073,success,,True,1,1,0.0,1.0,11.0,0,,95aa5fbb835c8165de586f38b4cbe50769c92f1641016b39b0eadc3708c32e03,18
0da9b513d52862c7,link_failure_recovery,network_only,burst,4,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.949729514962315,1.565115939056861,3.7570310708429044,0,0,6.0,4.546060565661952,0.7576767609436587,0.055283013000007486,success,,True,1,1,0.0,1.0,11.0,0,,c4bca80a9e3e0d0ce77b573d2c444380d94f9b983f847bc0e3a6e9698a75a5f3,18
c2b2be06d7d123cd,link_failure_recovery,network_only,burst,5,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.94310146709858,1.5651089333567652,3.757034625342161,0,0,6.0,5.0990195135927845,0.8498365855987974,0.052832258000307775,success,,True,1,1,0.0,1.0,11.0,0,,81f130fc3b9248683d34c3ef6c43759176ae6222572c2f6c173b448bfdc2cdd9,18
e95482607329647c,link_failure_recovery,network_only,burst,6,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497227701141995,1.565101932941223,3.757020475559686,0,0,6.0,4.546060565661952,0.7576767609436587,0.05305620299986913,success,,True,1,1,0.0,1.0,11.0,0,,c84b0a07ddfdd4be1c6d3bafb554230e431315752b9274033f8dd7f4438e7e81,18
c2afb4ef8b8554a1,link_failure_recovery,network_only,burst,7,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9431027038459188,1.5650809591958315,3.7570134621318956,0,0,6.0,5.0990195135927845,0.8498365855987974,0.05336740299935627,success,,True,1,1,0.0,1.0,11.0,0,,e20a6f787eb1fd621e6f2c63c6f19dca6370675b8845151b333e415f9a592b2f,18
846dcc71646893f0,link_failure_recovery,network_only,burst,8,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497284330276432,1.5650809591958315,3.7570275280893837,0,0,6.0,4.546060565661952,0.7576767609436587,0.05385473600017576,success,,True,1,1,0.0,1.0,11.0,0,,aba62db5c5ee3a887ed3034514f88e3b4186bcc23c8b9c615ef148b014e9a218,18
34ba558c9a16e1f9,link_failure_recovery,network_only,burst,9,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497264937749665,1.5650984327772022,3.7570257608304454,0,0,6.0,4.546060565661952,0.7576767609436587,0.055319346000032965,success,,True,1,1,0.0,1.0,11.0,0,,9a9fb40ac7e25508ec23d1274e5226882fe6dfa3e7f3b060f7dce9cc6c3248f1,18
ec9eaf8d76a1e02f,link_failure_recovery,compute_aware,burst,0,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497221087878964,1.5650844524428067,3.757023998662784,0,0,6.0,4.546060565661952,0.7576767609436587,0.05331074900004751,success,,True,1,1,0.0,1.0,11.0,0,,06945b1de60d7c73194c5c4cf9bd4afc72cacef65143d4d832cd81b7a93e32fa,18
f9ecdfc3d51cab06,link_failure_recovery,compute_aware,burst,1,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497224307114247,1.5651229529684205,3.7570152117732634,0,0,6.0,4.546060565661952,0.7576767609436587,0.05318116699982056,success,,True,1,1,0.0,1.0,11.0,0,,62e7138e635feb31e8192866ec53a3eb0dec2e85ec7eedb0994aa41ad8d908b9,18
bc1850f03db89999,link_failure_recovery,compute_aware,burst,2,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.9497203292835188,1.565101932941223,3.7570275280893854,0,0,6.0,4.546060565661952,0.7576767609436587,0.05308157299987215,success,,True,1,1,0.0,1.0,11.0,0,,b7637b4ed07c31273a259b40881ada23a3073bab3ec41d3d6504b28d8a610677,18
bd1f89421ee69278,link_failure_recovery,compute_aware,burst,3,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.943101649218295,1.5650984327772022,3.757018718419049,0,0,6.0,5.0990195135927845,0.8498365855987974,0.05367121299968858,success,,True,1,1,0.0,1.0,11.0,0,,95aa5fbb835c8165de586f38b4cbe50769c92f1641016b39b0eadc3708c32e03,18
f2a25a275d19b26d,link_failure_recovery,compute_aware,burst,4,18,18,0,1.0,1.0,0.0,0.0,0.0,0.0,1.949729514962315,1.565115939056861,3.7570310708429044,0,0,6.0,4.546060565661952,0.7576767609436587,0.05470765499921981,success,,True,1,1,0.0,1.0,11.0,0,,c4bca80a9e3e0d0ce77b573d2c444380d94f9b983f847bc0e3a6e9698a75a5f3,18
