scenario,workload,rank,policy,successful_run_count,placement_success_ratio,deadline_met_ratio,jobs_unplaced,p95_total_time_seconds,node_load_imbalance_ratio
link_failure_recovery,demo,1,completion_time,10,1.0,0.13333333333333333,0.0,3.757067029597951,0.9092121131323904
link_failure_recovery,demo,2,compute_aware,10,1.0,0.0,0.0,3.757067029597951,0.7483314773547882
link_failure_recovery,demo,3,network_only,10,1.0,0.0,0.0,3.757067029597951,0.7483314773547882
link_failure_recovery,demo,4,compute_only,10,1.0,0.0,0.0,3.8128602666185323,1.4142135623730951
