scenario,policy,workload,run_count,successful_run_count,failed_run_count,placement_success_ratio_mean,placement_success_ratio_stddev,placement_success_ratio_minimum,placement_success_ratio_maximum,jobs_unplaced_mean,jobs_unplaced_stddev,jobs_unplaced_minimum,jobs_unplaced_maximum,deadline_met_ratio_mean,deadline_met_ratio_stddev,deadline_met_ratio_minimum,deadline_met_ratio_maximum,average_queue_wait_seconds_mean,average_queue_wait_seconds_stddev,average_queue_wait_seconds_minimum,average_queue_wait_seconds_maximum,p95_queue_wait_seconds_mean,p95_queue_wait_seconds_stddev,p95_queue_wait_seconds_minimum,p95_queue_wait_seconds_maximum,average_total_time_seconds_mean,average_total_time_seconds_stddev,average_total_time_seconds_minimum,average_total_time_seconds_maximum,p95_total_time_seconds_mean,p95_total_time_seconds_stddev,p95_total_time_seconds_minimum,p95_total_time_seconds_maximum,node_load_imbalance_ratio_mean,node_load_imbalance_ratio_stddev,node_load_imbalance_ratio_minimum,node_load_imbalance_ratio_maximum
link_failure_recovery,completion_time,demo,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7860417535053927,0.0,1.7860417535053925,1.7860417535053925,3.757067029597951,0.0,3.757067029597951,3.757067029597951,0.9092121131323904,0.0,0.9092121131323904,0.9092121131323904
link_failure_recovery,compute_aware,demo,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,0.0,1.9919740152182317,1.9919740152182317,3.757067029597951,0.0,3.757067029597951,3.757067029597951,0.7483314773547882,0.0,0.7483314773547882,0.7483314773547882
link_failure_recovery,compute_only,demo,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,0.0,2.16444765904832,2.16444765904832,3.8128602666185323,0.0,3.8128602666185323,3.8128602666185323,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
link_failure_recovery,network_only,demo,10,10,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,0.0,1.9919740152182317,1.9919740152182317,3.757067029597951,0.0,3.757067029597951,3.757067029597951,0.7483314773547882,0.0,0.7483314773547882,0.7483314773547882
