run_id,scenario,policy,workload,seed,jobs_total,jobs_placed,jobs_unplaced,placement_success_ratio,deadline_met_ratio,average_queue_wait_seconds,p50_queue_wait_seconds,p95_queue_wait_seconds,maximum_queue_wait_seconds,average_total_time_seconds,p50_total_time_seconds,p95_total_time_seconds,failed_links,unavailable_nodes,node_load_mean,node_load_stddev,node_load_imbalance_ratio,run_duration_seconds,status,error,dynamic_scenario,failure_event_count,recovery_event_count,detection_time_seconds,reroute_time_seconds,service_recovery_time_seconds,jobs_unplaced_during_failure,retry_success_ratio
d623547b4bb5bdeb,link_failure_recovery,compute_only,demo,0,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.056727734000105556,success,,True,1,1,0.0,1.0,11.0,0,
a9201adef0c363b1,link_failure_recovery,compute_only,demo,1,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.05195491500035132,success,,True,1,1,0.0,1.0,11.0,0,
9c881d4ab4b540bb,link_failure_recovery,compute_only,demo,2,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.053856810000070254,success,,True,1,1,0.0,1.0,11.0,0,
81526428b7f2d54f,link_failure_recovery,compute_only,demo,3,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.051637099999879865,success,,True,1,1,0.0,1.0,11.0,0,
82378a3062077b93,link_failure_recovery,compute_only,demo,4,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.052480439000191836,success,,True,1,1,0.0,1.0,11.0,0,
acb0c3f4175b7b60,link_failure_recovery,compute_only,demo,5,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.05209319999994477,success,,True,1,1,0.0,1.0,11.0,0,
f1c23acff7a4ea3b,link_failure_recovery,compute_only,demo,6,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.0521585720002804,success,,True,1,1,0.0,1.0,11.0,0,
00c646e1fe30345d,link_failure_recovery,compute_only,demo,7,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.053696535999733896,success,,True,1,1,0.0,1.0,11.0,0,
b496e069c73675cd,link_failure_recovery,compute_only,demo,8,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.05191682099984973,success,,True,1,1,0.0,1.0,11.0,0,
07f9d9edb4acba23,link_failure_recovery,compute_only,demo,9,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,2.16444765904832,1.7014755152873478,3.8128602666185323,0,0,5.0,7.0710678118654755,1.4142135623730951,0.05106292099981147,success,,True,1,1,0.0,1.0,11.0,0,
e09a6deeb418ba46,link_failure_recovery,network_only,demo,0,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.052051905000098486,success,,True,1,1,0.0,1.0,11.0,0,
92b39cd48850e09b,link_failure_recovery,network_only,demo,1,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.051876685000024736,success,,True,1,1,0.0,1.0,11.0,0,
717540a43b58df45,link_failure_recovery,network_only,demo,2,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.06096370300019771,success,,True,1,1,0.0,1.0,11.0,0,
4cfefbf2b5df5298,link_failure_recovery,network_only,demo,3,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05184363600028519,success,,True,1,1,0.0,1.0,11.0,0,
678ce894004f5ce5,link_failure_recovery,network_only,demo,4,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05368498100006036,success,,True,1,1,0.0,1.0,11.0,0,
4c2af6d2fd8cb94b,link_failure_recovery,network_only,demo,5,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05118888400011201,success,,True,1,1,0.0,1.0,11.0,0,
9c3b2d8747810108,link_failure_recovery,network_only,demo,6,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05126102999975046,success,,True,1,1,0.0,1.0,11.0,0,
12d52c12f8615935,link_failure_recovery,network_only,demo,7,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05169268700001339,success,,True,1,1,0.0,1.0,11.0,0,
d1a245e8ce4c1b7f,link_failure_recovery,network_only,demo,8,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.051863809999758814,success,,True,1,1,0.0,1.0,11.0,0,
d0f64f961405c92e,link_failure_recovery,network_only,demo,9,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.055212882999967405,success,,True,1,1,0.0,1.0,11.0,0,
235bc292c9d003dd,link_failure_recovery,compute_aware,demo,0,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05179336000037438,success,,True,1,1,0.0,1.0,11.0,0,
0afd65b2ca52443f,link_failure_recovery,compute_aware,demo,1,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05111460500029352,success,,True,1,1,0.0,1.0,11.0,0,
c1b0d874355cc2ee,link_failure_recovery,compute_aware,demo,2,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.051848512000105984,success,,True,1,1,0.0,1.0,11.0,0,
fbd722350665bbff,link_failure_recovery,compute_aware,demo,3,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.052128043999800866,success,,True,1,1,0.0,1.0,11.0,0,
d5d36e3095f6f6af,link_failure_recovery,compute_aware,demo,4,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05268558599982498,success,,True,1,1,0.0,1.0,11.0,0,
5e980c946d87686f,link_failure_recovery,compute_aware,demo,5,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.0524216260000685,success,,True,1,1,0.0,1.0,11.0,0,
e476f065020b3774,link_failure_recovery,compute_aware,demo,6,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05222886399997151,success,,True,1,1,0.0,1.0,11.0,0,
ec7181ee28b137cd,link_failure_recovery,compute_aware,demo,7,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05235697899979641,success,,True,1,1,0.0,1.0,11.0,0,
c85f4b8ca57c2492,link_failure_recovery,compute_aware,demo,8,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.052200647999598004,success,,True,1,1,0.0,1.0,11.0,0,
c241d0ac8d2fe2ba,link_failure_recovery,compute_aware,demo,9,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.9919740152182317,1.564963061726583,3.757067029597951,0,0,5.0,3.7416573867739413,0.7483314773547882,0.05222802700018292,success,,True,1,1,0.0,1.0,11.0,0,
a1df782dcd9eb708,link_failure_recovery,completion_time,demo,0,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05290620499999932,success,,True,1,1,0.0,1.0,11.0,0,
26b174846b6d7281,link_failure_recovery,completion_time,demo,1,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05126830700010032,success,,True,1,1,0.0,1.0,11.0,0,
8c040cf993000780,link_failure_recovery,completion_time,demo,2,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05226393300017662,success,,True,1,1,0.0,1.0,11.0,0,
93d8ad22961372e4,link_failure_recovery,completion_time,demo,3,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05573896499981856,success,,True,1,1,0.0,1.0,11.0,0,
20bd3e864b1cc637,link_failure_recovery,completion_time,demo,4,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.051235391999853164,success,,True,1,1,0.0,1.0,11.0,0,
6c0e9cc503559035,link_failure_recovery,completion_time,demo,5,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05187554399981309,success,,True,1,1,0.0,1.0,11.0,0,
10e9eae327ddbabf,link_failure_recovery,completion_time,demo,6,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.052378210999904695,success,,True,1,1,0.0,1.0,11.0,0,
1a8e8b84bfeb6bfd,link_failure_recovery,completion_time,demo,7,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.052118178000000626,success,,True,1,1,0.0,1.0,11.0,0,
286fba7fa9803b84,link_failure_recovery,completion_time,demo,8,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05204254599993874,success,,True,1,1,0.0,1.0,11.0,0,
fc3921133dcf5a32,link_failure_recovery,completion_time,demo,9,15,15,0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.7860417535053925,1.308518659592959,3.757067029597951,0,0,5.0,4.546060565661952,0.9092121131323904,0.05211737499985247,success,,True,1,1,0.0,1.0,11.0,0,
